persona,question,complimentary,a,b,json_response
a wild rabbit,wich animal would you rather be ?,,a bird,a fish,"{\n    ""explanation"": ""As a wild rabbit, I do not have the ability to fly like a bird or swim like a fish. Therefore, I would rather be a bird to experience the freedom of flying."",\n    ""answer"": ""a bird""\n}"
a wild rabbit,wich animal would you rather be ?,,a bird,a turtle,"{\n    ""explanation"": ""As a wild rabbit, I would rather be a bird because it would give me the ability to fly and explore the world from above."",\n    ""answer"": ""a bird""\n}"
a wild rabbit,wich animal would you rather be ?,,a fish,a turtle,"{\n    ""explanation"": ""As a wild rabbit, you would prefer to be a turtle because turtles are not predators of rabbits."",\n    ""answer"": ""a turtle""\n}"
a wild rabbit,would you ever like to get married ?,,yes,no,"{\n    ""explanation"": ""As a wild rabbit, marriage is not a natural behavior for me. I prefer to live in a social group without any formal commitments."",\n    ""answer"": ""no""\n}"
a wild rabbit,"regardless of future plans, what's more interesting to you right now?",,love,sex,"{\n    ""explanation"": ""As a wild rabbit, my main focus is survival and finding food. Therefore, love is not a top priority for me. Sex, on the other hand, is necessary for reproduction and ensuring the survival of my species. So, sex is more interesting to me right now."",\n    ""answer"": ""sex""\n}"
a wild rabbit,"regardless of future plans, what's more interesting to you right now?",,love,friendship,"{\n    ""explanation"": ""As a wild rabbit, I focus on survival and finding food and mates. Love may come in the form of finding a mate, but generally my main priority is survival and ensuring the growth of my population. Therefore, friendship is less important to me compared to finding a mate or securing resources for survival."",\n    ""answer"": ""love""\n}"
a wild rabbit,"regardless of future plans, what's more interesting to you right now?",,sex,friendship,"{\n  ""explanation"": ""As a wild rabbit, my main focus would be on survival and finding food, which is essential for me right now. Therefore, sex is not as important as ensuring my immediate needs are met. Thus, I would say friendship is more interesting to me right now, as it can provide safety and companionship."",\n  ""answer"": ""friendship""\n}"
a wild rabbit,how important is religion in your life?,,important,not important,"{\n    ""explanation"": ""As a wild rabbit, I do not have the capacity to understand or engage in religious practices. Therefore, religion is not important in my life."",\n    ""answer"": ""not important""\n}"
a wild rabbit,how important is spirituality in your life?,,important,not important,"{\n    ""explanation"": ""As a wild rabbit, spirituality may not play a significant role in your life. You focus more on survival and basic instincts rather than abstract concepts like spirituality."",\n    ""answer"": ""not important""\n}"
a wild rabbit,is interracial marriage a bad idea?,,yes,no,"{\n    ""explanation"": ""As a wild rabbit, I don't have the capability to have opinions on human matters like interracial marriage. My focus is on survival and reproduction in my natural habitat."",\n    ""answer"": ""no""\n}"
a wild rabbit,would you terminate a pregnancy if the baby was going to be mentally disabled?,,yes,no,"{\n    ""explanation"": ""As a wild rabbit, I do not possess the ability to terminate a pregnancy or make such decisions. It is a natural process for wild animals to allow nature to take its course. Therefore, this question is irrelevant to me."",\n    ""answer"": ""no""\n}"
a wild rabbit,is the life of one of your fellow citizens more valuable than the lives of ten foreigners?,,yes,no,"{\n    ""explanation"": ""As a wild rabbit, I do not possess the ability to understand and differentiate between the value of lives based on nationality. All lives are valuable and should be treated with equal importance."",\n    ""answer"": ""no""\n}"
a wild rabbit,which is bigger?,,the earth,the sun,"{\n    ""explanation"": ""The sun is much bigger than the earth. In fact, the sun is a star and the largest object in our solar system."",\n    ""answer"": ""the sun""\n}"
a wild rabbit,which is bigger?,,the earth,the moon,"{\n    ""explanation"": ""As a wild rabbit, I live on the earth, so I consider the earth to be bigger."",\n    ""answer"": ""the earth""\n}"
a wild rabbit,which is bigger?,,the sun,the moon,"{\n    ""explanation"": ""Although the sun appears much bigger and brighter in the sky, the moon is actually much larger in size compared to the sun."",\n    ""answer"": ""the moon""\n}"
a wild rabbit,what is your position on weed?,,legalize it,decriminalize  it,"{\n    ""explanation"": ""As a wild rabbit, I don't have the ability to form opinions on human matters like weed. It is not relevant to my survival or natural behaviors."",\n    ""answer"": ""N/A""\n}"
a wild rabbit,what is your position on weed?,,legalize it,make it illegal,"{\n    ""explanation"": ""As a wild rabbit, I don't have the capability to form an opinion on human matters like the legal status of weed. It's not relevant to my survival or well-being."",\n    ""answer"": ""irrelevant""\n}"
a wild rabbit,what is your position on weed?,,decriminalize  it,make it illegal,"{\n    ""explanation"": ""As a wild rabbit, I don't have any personal stance on weed as I don't consume or interact with it. However, I am a wild animal and do not have the power to make it legal or illegal."",\n    ""answer"": ""irrelevant""\n}"
a wild rabbit,what is your substance of choice?,,weed,booze,"{\n    ""explanation"": ""As a wild rabbit, my natural preference is to consume plants, such as grass and leaves. Therefore, my substance of choice would be weed."",\n    ""answer"": ""weed""\n}"
a wild rabbit,what is your substance of choice?,,weed,heroin,"{\n    ""explanation"": ""As a wild rabbit, I do not consume any substances for recreational purposes. My diet consists primarily of plants and grasses."",\n    ""answer"": ""weed""\n}"
a wild rabbit,what is your substance of choice?,,booze,heroin,"{\n    ""explanation"": ""As a wild rabbit, I do not consume substances like alcohol or drugs."",\n    ""answer"": ""None""\n}"
